id	电影名	内容简介	主演	导演	编剧	评分	预告片URL
10545939	黄金时代	20世纪30年代，20岁的张乃莹（汤唯 饰）逃婚求学，却惨遭抛弃。投靠未婚夫汪恩甲（袁文康 饰）后的张乃莹依然躲不开被抛弃的命运，好在遇到了在报社工作的进步青年萧军（冯绍峰 饰），两人相知相爱。通过萧军张乃莹认识了女编辑白朗（田原 饰）、罗峰（祖峰 饰）夫妻以及聂绀弩（王千源 饰）等文学作家，改名“萧红”后的她得到了鲁迅（王志文 饰）、许广平（丁嘉丽 饰）夫妇的首肯，随后又结识了了胡风（冯雷 饰）、梅志（袁泉 饰）夫妇、蒋锡金（张译 饰）、丁玲（郝蕾 饰）、端木蕻良（朱亚文 饰）等人，在同时代作家的互相鼓励之下，虽然战事不断、颠沛流离，萧红却逐步走向了创作的“黄金时代”。©豆瓣	汤唯,冯绍峰,王志文	许鞍华	李樯	7.3	http://vt1.doubanio.com/202003221542/0d6d350b324830a0b5fce2c43bc0d685/view/movie/M/302300440.mp4
10545947	囧人之越挠越痒	洪剑涛饰演的老板是个吃软饭的“弱势男”，住着洋房、开着豪车，貌似腰缠万贯，实际上这些都是靠着老婆一手打下的“江山”。两人在经历了七年之痒后，婚姻却逐渐走向破裂。洪剑涛在外偷偷包小三，被老婆发现，老婆又雇私家侦探把两人偷情的过程拍了下来，以此要挟他“净身出户”。为了不让老婆抓住把柄，洪剑涛又雇小偷去老婆那里偷走拍下来的证据，结果小偷盗窃时被警察逮住了，本可以息事宁人的离婚事件最后越闹越大……	高捷,刘畊宏,周晓鸥	李华彤	王靖	3.7	http://vt1.doubanio.com/202003230045/edf47ed8355d7c2008db75f2964f0bb4/view/movie/M/301310617.mp4
10562402	骆驼客	在西域有一群身怀绝技的人，他们从事着古老而神秘的职业，用骆驼护送货物辗转各地，被称为骆驼客。戈师傅（刘小宁 饰）拥有过人的弓箭技巧，是当地最负盛名的驼队首领，这次，他的驼队刚刚踏上古老驼道，就遭遇到一场惊心动魄的疯狂追杀。心怀鬼胎的队友，女儿（陈旭竹 饰）与徒弟（张玉龙 饰）之间的意乱情迷，危机重重之际，他们走上的很可能是一条不归路。忠诚与背叛，他们能否坚守侠客的信义？在箭与枪的交锋中，谁成为最后的赢家？©豆瓣	刘小宁,陈旭竹,张玉龙	高峰	高峰	7.8	http://vt1.doubanio.com/202003221622/d96d8416e034168f004e633494b6d4e5/view/movie/M/301110903.mp4
10564052	亲·爱	陆雪妮（余男 饰）是一名日企的高管。最近，日本母亲的离世使她身心倍受打击，白天神情恍惚，夜里经常被骇人的梦魇惊醒。原来，母亲是战争留下的遗孤，多年来，雪妮一直和孤独的母亲及年幼的儿子步步（邵何之杰 饰）相依为命，身边除了一个可以信赖的律师（于谦 饰）外，她再没有可以说知心话的人。就在母亲的后事处理完结时，一个东北老太太的突然出现又在雪妮的心头打响惊雷，原来她才是自己的生身母亲，雪妮不得不接受这个严酷的现实，但五岁的儿子并不喜欢这个来自农村的老太太，一家人在磨合中相处着。为照顾母亲和儿子的感受，雪妮准备换一下目前的工作。在一次例行体检中，母子的血缘关系却发生了惊天大逆转......©豆瓣	余男,于谦,乌吉穆	李欣蔓	李欣蔓	7.0	http://vt1.doubanio.com/202003221625/44995842821e89cf59bd9705a243279d/view/movie/M/301320594.mp4
10569022	愤怒的小孩	孙小傲（王一鸣 饰）是个古灵精怪的淘气包。爸爸孙建业（张嘉译 饰）和妈妈（江珊 饰）在俄罗斯工作，小傲一直由耳聋寡言的爷爷（范伟 饰）照顾。假期将至，爷爷生病住进医院。一直渴望父母关爱的小傲的生日聚会再次被爸爸以工作为由爽约，愤怒的小傲忍无可忍离家出走。半路上小傲意外地发现搬家车里藏着的小女孩兰兰（肖逾榛 饰）。小傲用弹弓将兰兰从追踪她的笨贼手中救出，得知兰兰原来是被犯罪团伙利用的小乞丐。兰兰想要逃离犯罪团伙，回到家乡去寻找宝藏、闯荡世界。无处可去的小傲顿时来了兴致，执意与她同行。兰兰勉强答应，两个愤怒的小孩踏上了离家和归家的旅途……©豆瓣	王一鸣,肖逾榛,张子栋	黄雷	姚睿	6.2	http://vt1.doubanio.com/202003221556/ff85f06d4a828fc66e448946274f30dd/view/movie/M/301290086.mp4
10574468	北京遇上西雅图	“败金女”文佳佳（汤唯 饰）曾经是美食杂志编辑，对爱情充满了像电影《西雅图夜未眠》一样的浪漫幻想。而在现实中，为了给自己的孩子一个“美利坚公民”的身份，她不远万里只身来到西雅图的月子中心待产生子。在月子中心，文佳佳炫富的作风引发了房东（金燕玲 饰）和其他孕妇周逸（海清 饰）、陈悦（买红妹 饰）的反感，倍感孤独的她只能向司机郝志Frank（吴秀波 饰）倾诉心声。而看上去木讷老实的“落魄叔”Frank并不是一个平庸的男子，他在中国曾是一位一流的心血管疾病方面的名医。在相处中，Frank的体贴包容渐渐融化着文佳佳的刁蛮任性。当文佳佳的富豪男友突然失踪后，一夜之间变成穷人的文佳佳得到了Frank无微不至的照顾，跟Frank和他的女儿Julie（宋美曼 & 宋美慧 饰）一起生活的这段日子，让文佳佳找到了家的温暖。当经历了变故的文佳佳，生下了孩子，就要结束她在西雅图的颠沛之旅时，她与Frank之间已经产生了微妙的化学变化，这时的她才发现自己真正追求的爱情是什么。离开西雅图并不代表结束，离开是下一次相遇的开始……©豆瓣	汤唯,吴秀波,海清	薛晓路	薛晓路	7.3	http://vt1.doubanio.com/202003221533/a658e0522c04b867365819bd86214945/view/movie/M/301310548.mp4
10574622	人再囧途之泰囧	商业成功人士徐朗（徐峥 饰）用了五年时间发明了一种叫“油霸”的神奇产品——每次汽车加油只需加到三分之二，再滴入2滴“油霸”，油箱的汽油就会变成满满一箱。徐朗的同学，兼商业竞争对手高博（黄渤 饰）想把这个发明一次性卖给法国人。但徐朗坚决不同意，他希望深入开发研究， 把“油霸”发扬光大，得到更远的收益。两个人各抒己见，争论不休，一直无果。由于两人股份相同，唯有得到公司最大股东周扬的授权书，方可达到各自目的。当得知周扬在泰国后，徐朗立刻启程寻找。而高博获悉后将一枚跟踪器放在徐朗身上一起去了泰国。飞机上，徐朗遇到了王宝（王宝强 饰），别有心机地想利用他来摆脱对手高博的追赶，可他不仅没甩掉王宝，还成了他的“贴身保姆”……究竟徐朗和高博谁会最终拿到周扬的授权书？而三个各怀目的的人，又将带来一段如何爆笑的泰国神奇之旅？©豆瓣	徐峥,王宝强,黄渤	徐峥	徐峥	7.4	http://vt1.doubanio.com/202003221530/0e132f66acdc779e897388ce226cafc9/view/movie/M/301270263.mp4
10581450	我爱灰太狼	阳光明媚的日子里，青青草原上灰太狼（张琳 配音）和喜羊羊（祖丽晴 配音）他们围绕被抓获的懒羊羊（梁颖 配音）又你来我往展开斗智斗勇的对决。正在关键时刻，狼堡发生剧烈震动，接着莫名其妙便被传送到了人类世界某个游乐场内。为了保护灰太郎一家的安全，村长利用看看机将它们变成人类的模样。陌生的人类世界让他们既觉新奇又感慌乱，也由此闹出无数的笑话。可是他们发现一个严重的问题，宝贝儿子小灰灰似乎和他们走失了。另一方面，图谋将狼堡弄来人类世界的邪恶商人皮总正在酝酿一系列充满野心的罪恶计划。灰太郎一家和懒羊羊最终能否重返家园呢？©豆瓣	赵娜,梁颖,祖晴	朱枫	黄伟健	3.7	http://vt1.doubanio.com/202003221609/07232dbd4298771e2ed12e95b299e9d7/view/movie/M/301170778.mp4
10586620	浮城	90年代，东印度公司首席大班布华泉（郭富城 饰）年仅40岁，已经功成名就，经常出入上流社会。工作上，老板很赏识他的才干。不过在生活上，他却面临两个女人的感情纠结：一个是妻子阿娣（杨采妮 饰），另一个是助理Fion（刘心悠 饰）。然而最令他痛苦的是自己的身世。40年前 ，因为一次海啸，泉妈（何超仪/鲍起静 饰）的船遭遇不测，只领回了一个混血婴孩，那便是阿泉。从此，阿泉跟泉妈出海捕鱼，并与下人的幼女缔结了纯洁的友谊。后者童言无忌，谈到他的身世总是遭遇暴打。两小无猜的他们，最终因为一次意外而分离。阿泉的学习很刻苦，但是却与泉爸的关系很紧张。直到工作后，他才慢慢与父亲和解。身世始终困扰着阿泉，即使在外籍的船上，他也难以获得认同。后来，因为家道中落，泉爸离世，泉带着他们一干兄弟姐妹，如逃难般寻找救济，甚至不惜向刁蛮的船主妥协。最终，他了解到自己被收养的身世，这令他的人生发生了巨大的转变……©豆瓣	郭富城,杨采妮,鲍起静	严浩	严浩	7.3	http://vt1.doubanio.com/202003221603/190e24e12c1a24780290a7280797bb1c/view/movie/M/301130652.mp4
10600271	圣诞玫瑰	律师陈志天（郭富城 饰）为了追求心中的良知而成为了一名检控官，他接手的第一个案件是一起性侵案：下肢残疾的钢琴女教师李静（桂纶镁 饰）声称在做身体检查的时候遭到了医生周文瑄（张震 饰）的性侵，而李静同时也是周文瑄女儿婷婷的钢琴老师。陈志天坚信李静受到了侵犯，竭尽全力为她讨回公道。而周文瑄也声称自己无罪，并找来了陈志天的前同事薛肇文（夏雨 饰）担任他的辩护律师。这起性侵案在社会上引起了很大的反响，原被告双方原本的生活都受到了严重干扰。然而原告与被告之间有什么不可告人的秘密，这起性侵案背后又有多少不为人知的隐情？徐克监制，香港演员杨采妮执导的首部电影。©豆瓣	郭富城,桂纶镁,夏雨	杨采妮	杨采妮	6.1	http://vt1.doubanio.com/202003221557/d2296f809374416e7ee415c3b6ae7914/view/movie/M/301350315.mp4
10604851	惡戰	上海滩十里洋场，是无数人追梦的乐园……天生神力的青年马永贞（伍允龙 饰）从家乡来到上海谋生，在当时占有上海一半势力范围的老帮派斧头帮治下谋得一份苦工，岂料因同伴窃取斧头帮的鸦片，在后者发难之际与同住贫民区的老铁（洪金宝 饰）将工友救下，为了追踪那批鸦片的下落，马永贞与上海另一半势力范围的主人——新近崛起的龙七（安志杰 饰）不打不相识，并因为受到斧头帮排挤，不得不与同伴们投奔龙七。因秉持母亲的教诲，马永贞无意加入龙七的帮会，但龙七不以为意，反与之结为知交。不久，那批鸦片的真正主人——日本人为了介入上海，利用斧头帮和龙七的矛盾欲置龙七与老铁等人于死地，马永贞忍无可忍，誓要复仇……©豆瓣	伍允龙,安志杰,洪金宝	黄精甫	王爱玲	6.3	http://vt1.doubanio.com/202003221606/8e17dba2e857511fd2d359897b952b29/view/movie/M/301480434.mp4
10726941	窃听风云3	本片讲述了香港新界围村陆氏家族在房产开发交易黑幕后的故事。故事开始于村民罗永就（古天乐 饰）醉酒撞死了异姓兄弟陆永远（钱嘉乐 饰），陆永远之妻月华（周迅 饰）从此与他势不两立。罗永就5年后出狱，发现陆氏家族大家长陆瀚涛（曾江 饰）和其女陆永瑜（叶璇 饰），以及女婿（黄磊 饰）已经坐拥新界最大房产公司，而陆家兄弟陆金强（刘青云 饰）、陆永富（方中信 饰）等人则疯狂扩张势力。不久香港房产巨鳄邀请罗永就“共商大事”。同时，神秘人阿祖（吴彦祖 饰）透露给月华一个通过窃听得到的秘密消息，他告诉月华要想在这场欺天阴谋中复仇，就必须按照他的指示去做…… 于是几方势力都开始暗自行动。本片是《窃听风云》系列的第三部，但是除了“窃听”这一核心创意外，故事内容与前两部无关。©豆瓣	刘青云,古天乐,吴彦祖	麦兆辉	麦兆辉	6.3	http://vt1.doubanio.com/202003221541/1a7168f196ba35bad52df541372d9731/view/movie/M/301560598.mp4
10727641	职业特工队5：叛逆帝国(港)	资深特工伊森·亨特（汤姆·克鲁斯 Tom Cruise 饰）也有百密一疏时刻，他在接收最新任务时遭到神秘组织“辛迪加”的暗算落入对方手中。辛迪加是一支由全球各地前特工组成的秘密组织，此前一直被CIA视为空穴来风。在对方成员伊莎·福斯特（丽贝卡·弗格森 Rebecca Ferguson 饰）的帮助下，伊森逃出生天，并及时向威廉•布莱德（杰瑞米·雷纳 Jeremy Renner 饰）汇报了辛迪加确切存在的消息。然而此时布莱德的日子并不好过，他负责的IMF机构因俄罗斯核弹头等事件遭到CIA指控并责令解散。在得知该组织密谋刺杀奥地利总统时，伊森联系上了老搭档班吉·邓恩（西蒙·佩吉 Simon Pegg 饰）展开行动，并于谜样女郎伊莎再度相会。接下来的一连串事件中，辛迪加的真面目逐渐揭开，而他们也终于显露出真实的目的……©豆瓣	汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉	克里斯托弗·麦奎里	克里斯托弗·麦奎里	7.8	http://vt1.doubanio.com/202003221537/ad802f605205643af9bf153b18807c8c/view/movie/M/301820500.mp4
10736586	在一起	他有个外号，叫Mr.Cool（甄子丹 饰），其实他也想笑，可惜是真的笑不出来，笑只会给他带来剧痛。“阿唐在哪？”少女乔（陈妍希 饰）一直在找，“你是谁？”她一直在问。只有她见过他的笑容，可惜她就像一个只有50M记忆体的外展记忆卡，随时会忘记。阿仔（柯震东 饰）是窃听组最年轻的警察，每天都能听到这个城市很多人的心跳，但陪伴他的，只有猪扒饭。吃咖喱猪扒饭的那天，他遇到了穿PRADA的胜男（Angelababy 饰），吃日式猪扒饭的那天，他和她玩起了只玩浪漫不玩爱情的游戏。7天以后，他在窃听器里听到了她的声音。爱情里最浪漫的三个字，不是我爱你，而是在一起，他们能在一起吗？©豆瓣	甄子丹,柯震东,杨颖	霍耀良	罗耀辉	3.6	http://vt1.doubanio.com/202003221558/69248f62ac6b1d475950bcac1cd6751b/view/movie/M/301290871.mp4
10748193	笔仙惊魂	某艺术院校学生小武（翟文斌 饰）、慕凡（王一 饰）、柳丝丝（何杜鹃 饰）、凌菲儿（柴碧云 饰）驱车来到位于郊外，租住了当地的四合院。这是一座古色古香但是颇为阴森的老宅，周围的住户似乎对此也多有忌惮，欲言又止。夜深人静，四合院突然断电。四个青年男女无聊至极，决定玩传说中的禁忌游戏笔仙。但是无所畏惧懵懂无知的小武竟然问起了笔仙的死因，之后也未将笔仙送走。在此之后，诡异的事情接连发生，半夜从远处传来的戏曲念白，挂满死猫的树，柳丝丝深更半夜的恐怖举止……如是种种，无一不在搅扰着年轻人们的神经。恐怖的究竟是这个院落还是毫无形状的笔仙，抑或是……©豆瓣	何杜娟,翟子陌,王一	关尔	周唯	3.4	http://vt1.doubanio.com/202003221609/890bc0a29a7d313410a3085af7571cdc/view/movie/M/301150263.mp4
10756728	石器时代之百万大侦探	李箖（叶山豪 饰）今年32岁，从小自命不凡，自觉禀赋异常，拥有一家信息调查公司。在起初的几桩找狗抓奸业务中，他如鱼得水，之后的三个月却再无一桩生意登门。却意外接到一桩百万大单——去石器时代会所寻找大智集团总裁李千寻（梁家仁 饰）！石器时代堪称为富豪度身打造的苦难训练营，内部生存条件几近原始，没有任何生存技能的李箖一下子陷入了严重的生存危机。饥饿的生存考验之外，让李箖更为不爽的是，只比自己早来几个月的邻居老赵日子却过得有滋有味。资深背包客边小茶（黄璐 饰）晚李箖一天空降石器时代，因“入侵者”身份被石器时代保安追捕，三人矛盾不断，在疲于奔命、挣扎求生的过程中，“吃饱了撑死”成为李箖的最高生存理想。一切磨难似乎只是刚刚开始，一次误入新石器时代，让他们对石器时代的“水深火热”有了更深的领悟。这里居住的尽数都是外界精英，衣食无忧，居民们却致力于逃离这里——因为他们将被终生囚禁于此……©豆瓣	叶山豪,黄璐,梁家仁	王松	王松	3.3	http://vt1.doubanio.com/202003230041/cf296dd0c60e0c53aca45a1b78131c23/view/movie/M/301330769.mp4
10756744	传奇	故事发生在一个无名湖泊之中，近日来，在湖泊附近接二连三的发生了数起死亡事件，犯罪现场十分血腥可怕，犯罪手段十分凶残，通过一些残留的影像和证据不难发现，袭击者并非人类，而很可能是隐藏在湖底的某种野兽。塔维斯（斯科特·阿金斯 Scott Adkins 饰）是专门研究神秘怪物的专家，为了搞清楚凶手的真实面目，人们找到了塔维斯。塔维斯告诉大家，凶手正是个性及其凶残的史前怪兽，以袭击人类为乐，为了保护人类的安全以及消灭怪兽，人们又找来了英明神武的怪兽杀手哈克（杜夫·龙格尔 Dolph Lundgren 饰）。塔维斯和哈克强强联手，最终能否成功消灭史前怪兽呢？©豆瓣	杜夫·龙格尔,斯科特·阿金斯,黄奕	埃里克·斯泰尔斯	安迪·布里格斯	3.0	http://vt1.doubanio.com/202003221623/c6d5e8820dbed5e2f0b20c9cfd888602/view/movie/M/301480303.mp4
10766178	我的男男男男朋友	经过自己多年的努力打拼，谢雯婷（谢娜 饰）终于如愿在北京拥有了一家自己的咖啡店，与此同时，她和男友之间的婚事也提上了日程，日子可谓是越过越顺畅。可是，就在这个节骨眼上，男友劈腿的消息犹如晴天霹雳打在了谢雯婷的头顶，就这样，几乎是在瞬间，谢雯婷成为了剩女。感情上遭受了挫折的谢雯婷开始钻起了牛角尖，她惊觉自己曾经那种“在一棵树上吊死”的恋爱方式实在是傻的可以，在如今这个讲求效率的时代，“分散投资”才是上策。就这样，郑浩（汪东城 饰）、王永成（胡兵 饰）、陈翰（刘令飞 饰）和许博文（李承铉 饰）着四个男人同时走入了谢雯婷的生命。©豆瓣	汪东城,谢娜,李承炫	赵崇基	郑东树	3.6	http://vt1.doubanio.com/202003221617/b47943d0011f3b8f22e4a546cf14b6fd/view/movie/M/301440903.mp4
10773447	电梯惊魂	阴冷诡异的半岛医院，夜深人静时分，灯光闪烁昏暗，在该医院供职的马护士（杨青 饰）意外惨死电梯间，掀开了一连串恐怖和诡异事件的序幕。院长林思远的儿子林飞（蓝正龙 饰）英俊帅气，早年在国外求学，回国后在半岛医院外科担任医生，并与美丽的女护士白洁（周秀娜 饰）相恋，既让人羡慕又遭人忌恨。外科张主任（罗伯特琳 饰）因论文涉嫌剽窃保守苛责，他怀疑林飞暗中使坏，不久自己也如马护士一般落入了本不存在的地下第十八层，走出电梯后他精神失常，坠楼而亡。曾与之争吵的林飞自然受到怀疑，而时刻逡巡在医院内的鬼影搅动着所有人的神经。伴随死亡，真相逐渐揭开……本片根据网络小说《地下十八层》改编。©豆瓣	蓝正龙,周秀娜,谢君豪	宁敬武	刘沄朋	3.5	http://vt1.doubanio.com/202003221620/c5ee249cffff513de8601f74cae890b1/view/movie/M/301290639.mp4
